NewIN124715	Station:  LAFAYETTE 5 S IN	CLIGEN VER. 5.30000	ObservedYears:40	SIMULATEDYears:50	DataUnits:mm
CNvalue	CN000	CN030	CN031	CN032	CN033	CN034	CN035	CN036	CN037	CN038	CN039	CN040	CN041	CN042	CN043	CN044	CN045	CN046	CN047	CN048	CN049	CN050	CN051	CN052	CN053	CN054	CN055	CN056	CN057	CN058	CN059	CN060	CN061	CN062	CN063	CN064	CN065	CN066	CN067	CN068	CN069	CN070	CN071	CN072	CN073	CN074	CN075	CN076	CN077	CN078	CN079	CN080	CN081	CN082	CN083	CN084	CN085	CN086	CN087	CN088	CN089	CN090	CN091	CN092	CN093	CN094	CN095	CN096	CN097	CN098	CN099	CN100	
year032	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.08    0.17    0.31    0.52    0.82    1.24    1.80    2.50    3.34    4.32    5.45    6.74    8.20    9.86   11.73   13.82   16.14   18.73   21.62   24.83   28.38   32.29   36.62   41.42   46.72   52.56   59.02   66.15   74.01   82.69   92.27  102.84  114.53  127.49  141.92  158.05  176.04  196.13  218.69  244.14  273.01  305.95  343.81  387.77  439.48  501.27  576.72  672.17  800.54    0.00
year033	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.03    0.09    0.20    0.38    0.64    0.98    1.40    1.89    2.47    3.12    3.86    4.69    5.64    6.72    7.97    9.40   11.05   12.98   15.21   17.76   20.64   23.91   27.65   32.00   37.07   42.91   49.66   57.43   66.34   76.52   88.13  101.36  116.49  133.84  153.83  176.97  203.88  235.41  272.74  317.61  372.56  441.52  531.28  656.20    0.00
year034	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.04    0.12    0.22    0.36    0.54    0.74    1.00    1.32    1.70    2.14    2.63    3.19    3.80    4.48    5.24    6.10    7.10    8.25    9.57   11.08   12.83   14.83   17.15   19.81   22.86   26.35   30.34   34.91   40.14   46.08   52.82   60.41   68.98   78.66   89.57  101.83  115.61  131.12  148.58  168.30  190.65  216.03  245.05  278.44  317.09  362.19  415.40  479.20  557.53  657.35  792.53    0.00
year035	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.10    0.25    0.48    0.81    1.22    1.72    2.29    2.94    3.67    4.47    5.34    6.29    7.32    8.44    9.67   11.02   12.49   14.12   15.91   17.89   20.06   22.43   25.00   27.78   30.76   33.94   37.36   41.02   44.94   49.18   53.75   58.70   64.05   69.82   76.03   82.71   89.91   97.66  106.03  115.07  124.92  135.69  147.54  160.64  175.17  191.34  209.36  229.52  252.20  277.84  307.02  340.52  379.31  424.79  479.14  545.87  631.34  749.36    0.00
year036	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.03    0.11    0.27    0.51    0.83    1.24    1.75    2.36    3.09    3.95    4.97    6.15    7.51    9.06   10.82   12.83   15.07   17.55   20.28   23.29   26.58   30.17   34.05   38.26   42.79   47.65   52.84   58.38   64.27   70.52   77.16   84.21   91.72   99.80  108.51  117.91  128.05  138.98  150.78  163.52  177.32  192.32  208.68  226.57  246.18  267.75  291.53  317.85  347.17  380.01  417.13  459.45  508.25  565.24  633.00  715.74  820.95  964.66    0.00
year037	    0.00    0.00    0.00    0.00    0.00    0.02    0.12    0.29    0.53    0.83    1.20    1.62    2.10    2.63    3.22    3.85    4.53    5.25    6.01    6.82    7.67    8.56    9.49   10.48   11.54   12.69   13.96   15.35   16.88   18.56   20.39   22.36   24.48   26.74   29.15   31.73   34.49   37.49   40.76   44.32   48.17   52.33   56.82   61.70   66.99   72.73   78.94   85.67   92.98  100.94  109.65  119.19  129.64  141.09  153.68  167.54  182.81  199.73  218.51  239.42  262.77  289.00  318.69  352.51  391.28  436.19  488.89  551.75  628.47  725.18  854.97    0.00
year038	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.12    0.25    0.41    0.60    0.84    1.11    1.41    1.77    2.19    2.67    3.22    3.85    4.57    5.38    6.28    7.26    8.33    9.49   10.74   12.09   13.60   15.28   17.17   19.26   21.60   24.18   27.05   30.27   33.92   38.04   42.70   47.96   53.85   60.44   67.84   76.17   85.52   96.00  107.76  120.95  135.76  152.44  171.33  192.82  217.33  245.41  277.72  315.29  359.44  411.84  475.00  552.80  652.33  787.73    0.00
year039	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.11    0.23    0.40    0.63    0.94    1.37    1.93    2.63    3.46    4.42    5.50    6.73    8.12    9.69   11.45   13.42   15.60   18.01   20.70   23.66   26.92   30.49   34.37   38.59   43.21   48.29   53.86   59.97   66.62   73.86   81.74   90.35   99.76  110.07  121.32  133.61  147.01  161.63  177.59  195.05  214.18  235.18  258.28  283.80  312.06  343.50  378.68  418.25  463.08  514.42  573.84  643.60  727.48  831.96  970.39    0.00
year040	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.04    0.12    0.26    0.47    0.78    1.18    1.68    2.32    3.11    4.11    5.37    6.89    8.71   10.83   13.27   16.06   19.24   22.84   26.92   31.58   36.91   43.00   49.93   57.78   66.64   76.67   88.07  101.13  116.14  133.47  153.54  176.84  204.02  236.03  274.08  319.84  375.99  446.67  539.33  670.54    0.00
year041	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.07    0.17    0.31    0.50    0.73    1.02    1.39    1.83    2.34    2.91    3.56    4.28    5.10    6.01    7.01    8.14    9.38   10.75   12.27   13.97   15.86   17.95   20.25   22.78   25.53   28.52   31.76   35.29   39.11   43.26   47.78   52.68   57.99   63.75   69.97   76.70   83.97   91.82  100.35  109.65  119.81  130.99  143.37  157.11  172.40  189.50  208.71  230.40  255.02  283.20  315.82  353.97  399.19  453.73  521.27  608.57  730.06    0.00
